Seed,Team
1,Auburn
1,Duke
1,Houston
1,Florida
2,Tennessee
2,Alabama
2,Michigan State
2,St. John's
3,Texas Tech
3,Iowa State
3,Kentucky
3,Wisconsin
4,Texas A&M
4,Purdue
4,Maryland
4,Arizona
5,Michigan
5,Clemson
5,Oregon
5,Memphis
6,BYU
6,Illinois
6,Missouri
6,Ole Miss
7,UCLA
7,Marquette
7,Saint Mary's
7,Kansas
8,Louisville
8,Gonzaga
8,UConn
8,Mississippi State
9,Creighton
9,Georgia
9,Baylor
9,Oklahoma
10,Arkansas
10,New Mexico
10,Vanderbilt
10,Utah State
11,Texas
11,Xavier
11,San Diego State
11,Drake
11,VCU
11,North Carolina
12,UC San Diego
12,Colorado State
12,McNeese
12,Liberty
13,Yale
13,High Point
13,Akron
13,Grand Canyon
14,Lipscomb
14,Troy
14,UNC Wilmington
14,Montana
15,Robert Morris
15,Wofford
15,Omaha
15,Bryant
16,Norfolk State
16,SIU Edwardsville
16,American University
16,Mount St. Mary's
16,Alabama State
16,St. Francis (PA)
